1	1	Excuse me!
1	2	Yes?
1	3	Is this your handbag?
1	4	Pardon?
1	5	Is this your handbag?
1	6	Yes, it is.
1	7	Thank you very much.
3	1	My coat and my umbrella please.
3	2	Here is my ticket.
3	3	Thank you, sir.
3	4	Number five.
3	5	Here's your umbrella and your coat.
3	6	This is not my umbrella.
3	7	Sorry, sir.
3	8	Is this your umbrella?
3	9	No, it isn't.
3	10	Is this it?
3	11	Yes, it is.
3	12	Thank you very much.
5	1	Good morning.
5	2	Good morning, Mr. Blake.
5	3	This is Miss Sophie Dupont.
5	4	Sophie is a new student.
5	5	She is French.
5	6	Sophie, this is Hans.
5	7	He is German.
5	8	Nice to meet you.
5	9	And this is Naoko.
5	10	She's Japanese.
5	11	Nice to meet you.
5	12	And this is Chang-woo.
5	13	He's Korean.
5	14	Nice to meet you.
5	15	And this is Luming.
5	16	He's Chinese.
5	17	Nice to meet you.
5	18	And this is Xiaohui.
5	19	She's Chinese, too.
5	20	Nice to meet you.
7	1	I'm a new student. My name's Robert.
7	2	Nice to meet you. My name's Sophie.
7	3	Are you French?
7	4	Yes, I am.
7	5	Are you French, too?
7	6	No, I'm not.
7	7	What nationality are you?
7	8	I'm Italian.
7	9	Are you a teacher?
7	10	No, I'm not.
7	11	What's your job?
7	12	I'm a keyboard operator.
7	13	What's your job?
7	14	I'm an engineer.
9	1	Hello, Helen.
9	2	Hi, Steven.
9	3	How are you today?
9	4	I'm very well, thank you. And you?
9	5	I'm fine, thanks.
9	6	How's Tony?
9	7	He's fine, thanks.
9	8	How's Mrs. Ford?
9	9	She's very well, too, Helen.
9	10	Goodbye, Helen. Nice to see you.
9	11	Nice to see you, too, Steven. Goodbye.
11	1	Whose shirt is that?
11	2	Is this your shirt, Dave?
11	3	No, sir. It's not my shirt.
11	4	This is my shirt. My shirt's blue.
11	5	Is this shirt Tim's?
11	6	Perhaps it is, sir. Tim's shirt's white.
11	7	Tim!
11	8	Yes, sir?
11	9	Is this your shirt?
11	10	Yes, sir.
11	11	Here you are. Catch!
11	12	Thank you, sir.
13	1	What colour's your new dress?
13	2	It's green.
13	3	Come upstairs and see it.
13	4	Thank you.
13	5	Look! Here it is!
13	6	That's a nice dress. It's very smart.
13	7	My hat's new, too.
13	8	What colour is it?
13	9	It's the same colour. It's green, too.
13	10	That is a lovely hat!
15	1	Are you Swedish?
15	2	No, we aren't. We are Danish.
15	3	Are your friends Danish, too?
15	4	No, they aren't. They're Norwegian.
15	5	Your passports, please.
15	6	Here they are.
15	7	Are these your cases?
15	8	No, they aren't.
15	9	Our cases are brown. Here they are.
15	10	Are you tourists?
15	11	Yes, we are.
15	12	Are your friends tourists, too?
15	13	Yes, they are.
15	14	That's fine. Thank you very much.
17	1	Come and meet our employees, Mr. Richards.
17	2	Thank you, Mr. Jackson.
17	3	This is Nicola Grey, and this is Claire Taylor.
17	4	How do you do?
17	5	Those women are very hard-working. What are their jobs?
17	6	They're keyboard operators.
17	7	This is Michael Baker, and this is Jeremy Short.
17	8	How do you do?
17	9	They aren't very busy!
17	10	What are their jobs?
17	11	They're sales reps. They're very lazy.
17	12	Who is this young man?
17	13	This is Jim. He's our office assistant.
19	1	What's the matter, children?
19	2	We're tired...
19	3	...and thirsty, Mum.
19	4	Sit down here.
19	5	Are you all right now?
19	6	No, we aren't.
19	7	Look! There's an ice cream man.
19	8	Two ice creams please.
19	9	Here you are, children.
19	10	Thanks, Mum.
19	11	These ice creams are nice.
19	12	Are you all right now?
19	13	Yes, we are, thank you!
21	1	Give me a book please, Jane.
21	2	Which book?
21	3	This one?
21	4	No, not that one. The red one.
21	5	This one?
21	6	Yes, please.
21	7	Here you are.
21	8	Thank you.
23	1	Give me some glasses please, Jane.
23	2	Which glasses?
23	3	These glasses?
23	4	No, not those. The ones on the shelf.
23	5	These?
23	6	Yes, please.
23	7	Here you are.
23	8	Thanks.
25	1	Mrs. Smith's kitchen is small.
25	2	There is a refrigerator in the kitchen.
25	3	The refrigerator is white.
25	4	It is on the right.
25	5	There is an electric cooker in the kitchen.
25	6	The cooker is blue.
25	7	It is on the left.
25	8	There is a table in the middle of the room.
25	9	There is a bottle on the table.
25	10	The bottle is empty.
25	11	There is a cup on the table, too.
25	12	The cup is clean.
27	1	Mrs. Smith's living room is large.
